	Книга	Глава	Склонность к диалогам	Степень эгоцентризма	Сложность предложения	Средняя длина предложения	Склонность к действию	Склонность к описанию деталей	Склонность к уклонению	Склонность говорить от 3 лица
0	Лукьяненко Дозоры.txt	1	0	0	0,35	6,666666667	0	0	0	0
1	Лукьяненко Дозоры.txt	2	0	0	0,046511628	14,33333333	0	0	0	0
2	Лукьяненко Дозоры.txt	3	0,222222222	0,001808318	0,197106691	8,991869919	0,004520796	0,00994575	0	0,012658228
3	Лукьяненко Дозоры.txt	4	0,193396226	0,031455399	0,189201878	9,508928571	0,005633803	0,008450704	0,024390244	0,007746479
4	Лукьяненко Дозоры.txt	5	0,571942446	0,040643522	0,103302286	7,731587561	0,00762066	0,007408975	0,037735849	0,012277731
5	Лукьяненко Дозоры.txt	6	0,59922179	0,028325402	0,105370496	7,479661017	0,005438477	0,008157716	0	0,010197145
6	Лукьяненко Дозоры.txt	7	0,523160763	0,026509103	0,130948579	7,124004551	0,007984669	0,007505589	0,010416667	0,015170872
7	Лукьяненко Дозоры.txt	8	0,62745098	0,030833151	0,089438006	7,305111821	0,007653619	0,009184343	0,057291667	0,014213864
8	Лукьяненко Дозоры.txt	9	0,58490566	0,023991563	0,106775639	8,002109705	0,006063802	0,007118376	0	0,008963881
9	Лукьяненко Дозоры.txt	10	0,493548387	0,032836831	0,133716994	8,380141844	0,007447529	0,008124577	0,052287582	0,009817197
10	Лукьяненко Дозоры.txt	11	0,442253521	0,028265751	0,134724607	8,68233945	0,00673623	0,011227051	0,01910828	0,015453705
11	Лукьяненко Дозоры.txt	12	0,294117647	0,001885014	0,181903864	11,92134831	0,008482564	0,014137606	0	0,014137606
12	Лукьяненко Дозоры.txt	13	0,650326797	0,029442692	0,094637224	8,874027994	0,007535927	0,004731861	0,035175879	0,007010165
13	Лукьяненко Дозоры.txt	14	0,595070423	0,029527559	0,11202577	8,786163522	0,005547602	0,006800286	0,041420118	0,011095204
14	Лукьяненко Дозоры.txt	15	0,583908046	0,022326351	0,101157663	7,597905759	0,007028666	0,010336273	0,035433071	0,015573319
15	Лукьяненко Дозоры.txt	16	0,503597122	0,035525481	0,142524847	7,615136876	0,006766758	0,010784521	0,028571429	0,013322055
16	Лукьяненко Дозоры.txt	17	0,297752809	0,02662116	0,15745165	9,920993228	0,007736064	0,008418658	0,056603774	0,010011377
17	Лукьяненко Дозоры.txt	18	0,157608696	0,015469868	0,204340799	8,767206478	0,007619487	0,012468252	0	0,018702378
18	Лукьяненко Дозоры.txt	19	0,433333333	0,027308838	0,14796425	7,8671875	0,003972195	0,015392254	0,102564103	0,020357498
19	Лукьяненко Дозоры.txt	20	0	0	0,3	5	0	0	0	0
20	Лукьяненко Дозоры.txt	21	0	0	0,111111111	6	0	0	0	0
21	Лукьяненко Дозоры.txt	22	0	0	0,111111111	6	0	0	0	0
22	Лукьяненко Дозоры.txt	23	0	0	0,285714286	2,8	0	0	0	0
23	Лукьяненко Дозоры.txt	24	0	0,076923077	0,230769231	3,25	0	0	0	0
24	Лукьяненко Дозоры.txt	25	0	0	0,333333333	2,5	0	0	0	0
25	Лукьяненко Дозоры.txt	26	0	0	0,25	3	0	0	0	0
26	Лукьяненко Звезды – холодные игрушки.txt	1	0	0,028169014	0,20657277	13,3125	0,004694836	0,014084507	0	0,004694836
27	Лукьяненко Звезды – холодные игрушки.txt	2	0,363636364	0,026465399	0,155263674	8,764604811	0,00764556	0,0078416	0,034090909	0,00666536
28	Лукьяненко Звезды – холодные игрушки.txt	3	0,678700361	0,030982659	0,073988439	8,039033457	0,005780347	0,008092486	0,026595745	0,006473988
29	Лукьяненко Звезды – холодные игрушки.txt	4	0,47	0,032434545	0,128175068	8,587248322	0,00664322	0,004493943	0,021276596	0,009183275
30	Лукьяненко Звезды – холодные игрушки.txt	5	0,565217391	0,031928963	0,116380125	8,64869281	0,006045721	0,005478934	0,047337278	0,006045721
31	Лукьяненко Звезды – холодные игрушки.txt	6	0,485596708	0,030797518	0,109859802	9,541666667	0,007124799	0,005745806	0,033898305	0,007814296
32	Лукьяненко Звезды – холодные игрушки.txt	7	0	0	0,275	8,888888889	0,025	0	0	0
33	Лукьяненко Звезды – холодные игрушки.txt	8	0	0	0,076923077	6,5	0	0	0	0
34	Лукьяненко осенние визиты.txt	1	0,058823529	0,019762846	0,150197628	11	0	0,011857708	0	0,011857708
35	Лукьяненко осенние визиты.txt	2	0	0	0,173913043	17,04705882	0,004140787	0,008971705	0	0,015873016
36	Лукьяненко осенние визиты.txt	3	0,166666667	0	0,163522013	10,89041096	0,00754717	0,011320755	0	0,017610063
37	Лукьяненко осенние визиты.txt	4	0,342105263	0,003293085	0,141602634	11,3875	0,008781559	0,013172338	0,153846154	0,023051592
38	Лукьяненко осенние визиты.txt	5	0,24137931	0,005347594	0,169786096	10,53521127	0,005347594	0,010695187	0	0,016042781
39	Лукьяненко осенние визиты.txt	6	0,285714286	0,006416132	0,182401467	9,016528926	0,006416132	0,008249313	0,071428571	0,017415215
40	Лукьяненко осенние визиты.txt	7	0,692307692	0,002747253	0,081043956	8,465116279	0,002747253	0,019230769	0	0,016483516
41	Лукьяненко осенние визиты.txt	8	0,414634146	0	0,147683398	9,418181818	0,002895753	0,004826255	0	0,016409266
